cell_id,sleep_rate,dataset,seed,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_window,num_steps,check_sleep_interval,sleep_decay_rate,elapsed_s,returncode
117,0.5,notmnist,44,0.1016949152542373,0.11448275862068966,0.07692307692307693,,1750,100,3500,0.9999915201289347,411.456247,0
118,0.5,notmnist,45,0.6342857142857142,0.6927374301675978,0.5555555555555556,,1750,100,3500,0.9999915201289347,335.380302,0
119,0.5,notmnist,46,0.10614525139664804,0.11049723756906077,0.14835164835164835,,1750,100,3500,0.9999915201289347,387.678247,0
120,0.6,mnist,42,0.7657142857142857,0.7842323651452282,0.7237569060773481,,2100,100,3500,0.9999929334357852,387.081464,0
121,0.6,mnist,43,0.08152173913043478,0.125,0.09550561797752809,,2100,100,3500,0.9999929334357852,463.316913,0
122,0.6,mnist,44,0.12429378531073447,0.1149584487534626,0.13812154696132597,,2100,100,3500,0.9999929334357852,895.390389,0
123,0.6,mnist,45,0.11413043478260869,0.1155433287482806,0.12637362637362637,,2100,100,3500,0.9999929334357852,622.124297,0
124,0.6,mnist,46,0.13043478260869565,0.11618257261410789,0.11049723756906077,,2100,100,3500,0.9999929334357852,457.302881,0
125,0.6,fmnist,42,0.4319526627218935,0.5648535564853556,0.45,,2100,100,3500,0.9999929334357852,898.235578,0
126,0.6,fmnist,43,0.5714285714285714,0.6464924346629987,0.4835164835164835,,2100,100,3500,0.9999929334357852,380.124134,0
127,0.6,fmnist,44,0.4444444444444444,0.5751724137931035,0.4725274725274725,,2100,100,3500,0.9999929334357852,537.80043,0
128,0.6,fmnist,45,0.4782608695652174,0.5555555555555556,0.43646408839779005,,2100,100,3500,0.9999929334357852,359.048789,0
129,0.6,fmnist,46,0.5027932960893855,0.48342541436464087,0.4230769230769231,,2100,100,3500,0.9999929334357852,445.433403,0
130,0.6,kmnist,42,0.45652173913043476,0.5245901639344263,0.42391304347826086,,2100,100,3500,0.9999929334357852,384.296283,0
131,0.6,kmnist,43,0.09090909090909091,0.10848400556328233,0.10555555555555556,,2100,100,3500,0.9999929334357852,578.517711,0
132,0.6,kmnist,44,0.4945054945054945,0.5083565459610028,0.35,,2100,100,3500,0.9999929334357852,400.874435,0
133,0.6,kmnist,45,0.4838709677419355,0.5740479548660085,0.4887640449438202,,2100,100,3500,0.9999929334357852,378.327307,0
134,0.6,kmnist,46,0.3989071038251366,0.5,0.5,,2100,100,3500,0.9999929334357852,398.178666,0
135,0.6,notmnist,42,0.0989010989010989,0.11675824175824176,0.08196721311475409,,2100,100,3500,0.9999929334357852,505.825374,0
136,0.6,notmnist,43,0.08152173913043478,0.12253521126760564,0.06741573033707865,,2100,100,3500,0.9999929334357852,764.738422,0
137,0.6,notmnist,44,0.1016949152542373,0.11448275862068966,0.07692307692307693,,2100,100,3500,0.9999929334357852,802.85096,0
138,0.6,notmnist,45,0.5314285714285715,0.659217877094972,0.5333333333333333,,2100,100,3500,0.9999929334357852,386.839374,0
139,0.6,notmnist,46,0.10614525139664804,0.11049723756906077,0.14835164835164835,,2100,100,3500,0.9999929334357852,430.678572,0
140,0.7,mnist,42,0.7371428571428571,0.8409405255878285,0.8011049723756906,,2450,100,3500,0.9999939429419015,967.623302,0
141,0.7,mnist,43,0.08152173913043478,0.125,0.09550561797752809,,2450,100,3500,0.9999939429419015,478.104425,0
142,0.7,mnist,44,0.12429378531073447,0.1149584487534626,0.13812154696132597,,2450,100,3500,0.9999939429419015,457.006391,0
143,0.7,mnist,45,0.11956521739130435,0.1155433287482806,0.12637362637362637,,2450,100,3500,0.9999939429419015,464.484383,0
